t,abad_deg,mcp_deg,pip_deg
2.580000,-30.489900,31.073952,25.928143
2.585000,-30.489893,31.078197,26.439287
2.590000,-30.489886,31.082364,26.951961
2.595000,-30.489879,31.086448,27.466060
2.600000,-30.489872,31.090454,27.981487
2.605000,-30.489865,31.094385,28.498141
2.610000,-30.489859,31.098241,29.015928
2.615000,-30.489848,31.102021,29.534749
2.620000,-30.489838,31.105730,30.054513
2.625000,-30.489828,31.109367,30.575123
2.630000,-30.489818,31.112936,31.096499
2.635000,-30.489807,31.116436,31.618547
2.640000,-30.489797,31.119872,32.141193
2.645000,-30.489787,31.123243,32.664335
2.650000,-30.489777,31.126548,33.187882
2.655000,-30.489763,31.129793,33.711765
2.660000,-30.489749,31.132976,34.235920
2.665000,-30.489736,31.136100,34.760274
2.670000,-30.489722,31.139167,35.284761
2.675000,-30.489708,31.142176,35.809306
2.680000,-30.489695,31.145130,36.333833
2.685000,-30.489681,31.148029,36.858276
2.690000,-30.489667,31.150874,37.382561
2.695000,-30.489654,31.153664,37.906624
2.700000,-30.489637,31.156403,38.430404
2.705000,-30.489620,31.159094,38.953832
2.710000,-30.489602,31.161734,39.476851
2.715000,-30.489585,31.164326,39.999398
2.720000,-30.489568,31.166870,40.521419
2.725000,-30.489551,31.169367,41.042849
2.730000,-30.489534,31.171819,41.563631
2.735000,-30.489517,31.174226,42.083702
2.740000,-30.489497,31.176590,42.603015
2.745000,-30.489476,31.178912,43.121511
2.750000,-30.489456,31.181193,43.639134
2.755000,-30.489435,31.183434,44.155827
2.760000,-30.489415,31.185633,44.671541
2.765000,-30.489394,31.187791,45.186220
2.770000,-30.489374,31.189912,45.699816
2.775000,-30.489353,31.191995,46.212271
2.780000,-30.489333,31.194041,46.723535
2.785000,-30.489309,31.196052,47.233555
2.790000,-30.489285,31.198026,47.742285
2.795000,-30.489261,31.199966,48.249669
2.800000,-30.489237,31.201872,48.755659
2.805000,-30.489213,31.203743,49.260205
2.810000,-30.489189,31.205584,49.763252
2.815000,-30.489165,31.207390,50.264752
2.820000,-30.489141,31.209166,50.764660
2.825000,-30.489118,31.210911,51.262923
2.830000,-30.489094,31.212626,51.759491
2.835000,-30.489066,31.214313,52.254311
2.840000,-30.489039,31.215969,52.747335
2.845000,-30.489012,31.217598,53.238507
2.850000,-30.488984,31.219200,53.727788
2.855000,-30.488957,31.220774,54.215118
2.860000,-30.488930,31.222321,54.700451
2.865000,-30.488902,31.223841,55.183731
2.870000,-30.488875,31.225337,55.664908
2.875000,-30.488848,31.226805,56.143926
2.880000,-30.488820,31.228250,56.620735
2.885000,-30.488793,31.229671,57.095279
2.890000,-30.488762,31.231067,57.567505
2.895000,-30.488732,31.232440,58.037354
2.900000,-30.488701,31.233793,58.504778
2.905000,-30.488670,31.235121,58.969715
2.910000,-30.488639,31.236429,59.432112
2.915000,-30.488609,31.237713,59.891907
2.920000,-30.488578,31.238977,60.349045
2.925000,-30.488547,31.240220,60.803464
2.930000,-30.488516,31.241442,61.255110
2.935000,-30.488486,31.242644,61.703915
2.940000,-30.488455,31.243830,62.149817
2.945000,-30.488424,31.244994,62.592748
2.950000,-30.488394,31.246138,63.032653
2.955000,-30.488363,31.247265,63.469465
2.960000,-30.488332,31.248375,63.903113
2.965000,-30.488298,31.249464,64.333531
2.970000,-30.488264,31.250537,64.760657
2.975000,-30.488230,31.251592,65.184416
2.980000,-30.488195,31.252630,65.604739
2.985000,-30.488161,31.253651,66.021551
2.990000,-30.488127,31.254659,66.434784
2.995000,-30.488093,31.255649,66.844363
3.000000,-30.488059,31.256622,67.250213
3.005000,-30.488025,31.257582,67.652259
3.010000,-30.487991,31.258525,68.050418
3.015000,-30.487956,31.259454,68.444615
3.020000,-30.487922,31.260369,68.834769
3.025000,-30.487888,31.261291,69.220798
3.030000,-30.487854,31.262230,69.602619
3.035000,-30.487820,31.263224,69.980151
3.040000,-30.487786,31.264289,70.353312
3.045000,-30.487751,31.265471,70.722019
3.050000,-30.487717,31.266782,71.086184
3.055000,-30.487683,31.268265,71.445718
3.060000,-30.487649,31.269934,71.800533
3.065000,-30.487615,31.271830,72.150539
3.070000,-30.487581,31.273964,72.495655
3.075000,-30.487547,31.276375,72.835785
3.080000,-30.487512,31.279073,73.170847
3.085000,-30.487478,31.282092,73.500752
3.090000,-30.487444,31.285446,73.825404
3.095000,-30.487410,31.289168,74.144716
3.100000,-30.487376,31.293266,74.458597
3.105000,-30.487342,31.297771,74.766959
3.110000,-30.487308,31.302692,75.069714
3.115000,-30.487273,31.308057,75.366773
3.120000,-30.487239,31.313880,75.658053
3.125000,-30.487205,31.320184,75.943460
